pipeline,n_samples,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,ner_precision,ner_recall,ner_f1,hallucination_rate,total_entities_generated,total_hallucinations,exec_time_seconds,ms_per_example,throughput_eps
Pipeline_A_Classical,500,0.39125601097038337,0.14679414885567024,0.211350470921145,0.4317200754908845,0.38578957818448545,0.40623036508262156,0.7689333333333332,0.14452563594864823,0.21355813123997114,0.0,0,0,379.524,759.05,1.32
Pipeline_B_LLM,500,0.3968972903769944,0.1456028127914752,0.22747830277839795,0.49033098223805427,0.4080888238735497,0.4465120995938778,0.6120114774114774,0.12754410255203577,0.18688919177723273,0.025518204018204017,1580,52,1396.713,2793.43,0.36
